,avg_rewards,mean_q
0,-100.0,-0.06947667896747589
1,-100.0,-2.1280839443206787
2,-100.26666666666667,-3.1189494132995605
3,-100.1951219512195,-4.034618854522705
4,-98.5,-4.689305782318115
5,-97.95161290322581,-5.493256568908691
6,-98.23611111111111,-5.986848831176758
7,-97.87951807228916,-6.551663875579834
8,-96.77659574468085,-6.357271194458008
9,-96.97,-6.761414051055908
10,-96.97,-6.614481449127197
11,-96.23,-7.112354755401611
12,-96.18,-6.639431953430176
13,-97.04,-7.062963008880615
14,-97.04,-7.015352249145508
15,-97.53,-7.6834869384765625
16,-98.02,-7.338144302368164
17,-96.89,-7.791889190673828
18,-98.16,-8.032684326171875
19,-95.65,-7.962039947509766
20,-95.65,-6.930128574371338
21,-95.12,-6.909612655639648
22,-95.12,-6.735146522521973
23,-93.33,-6.662537574768066
24,-93.33,-7.429851531982422
25,-92.84,-7.024543285369873
26,-92.92,-6.640477180480957
27,-90.82,-7.519031524658203
28,-90.46,-6.5470476150512695
29,-88.94,-5.310854434967041
30,-88.99,-5.456319332122803
31,-86.76,-6.347662925720215
32,-82.89,-5.069592475891113
33,-74.33,-3.7637665271759033
34,-73.59,-4.816458225250244
35,-70.17,-5.663212299346924
36,-69.96,-3.527053117752075
37,-70.17,-5.324904441833496
38,-68.72,-4.395593166351318
39,-63.5,-4.114763259887695
40,-65.32,-3.3709614276885986
41,-66.3,-5.6920976638793945
42,-64.74,-3.261909008026123
43,-63.46,-4.023791790008545
44,-58.53,-3.759638786315918
45,-59.11,-5.353099346160889
46,-58.8,-5.070776462554932
47,-57.07,-3.2512364387512207
48,-55.72,-4.541671276092529
49,-51.97,-4.462794780731201
50,-53.49,-1.9113408327102661
51,-51.35,-6.535602569580078
52,-49.07,-4.6296281814575195
53,-48.4,-3.592550754547119
54,-51.24,-4.311708450317383
55,-47.07,-3.8141555786132812
56,-48.17,-4.825766086578369
57,-48.01,-2.7490859031677246
58,-51.23,-3.2877275943756104
59,-52.79,-3.8779103755950928
60,-53.54,-2.4361515045166016
61,-52.04,-2.3225512504577637
62,-58.33,-3.4115049839019775
63,-57.72,-2.4301257133483887
64,-58.23,-4.113694190979004
65,-60.67,-3.710883140563965
66,-56.98,-2.8144173622131348
