,avg_rewards,mean_q
0,-89.0909090909091,0.07197747379541397
1,-94.28571428571429,-1.9670236110687256
2,-96.12903225806451,-3.295570135116577
3,-95.23809523809524,-4.563638687133789
4,-95.41509433962264,-5.391855239868164
5,-96.203125,-5.401089668273926
6,-95.10666666666667,-5.872608184814453
7,-95.16279069767442,-6.207699775695801
8,-95.66666666666667,-6.425283908843994
9,-95.74,-6.824954509735107
10,-95.74,-7.533383369445801
11,-95.74,-6.617014408111572
12,-94.39,-6.426372051239014
13,-93.93,-7.276999473571777
14,-91.6,-5.229353904724121
15,-91.67,-6.58820915222168
16,-92.16,-6.797327041625977
17,-89.61,-7.185903072357178
18,-90.3,-5.073611259460449
19,-89.09,-6.578536033630371
20,-85.21,-6.728819370269775
21,-81.77,-5.870877742767334
22,-83.56,-2.9340171813964844
23,-83.03,-4.847553730010986
24,-78.79,-5.457888603210449
25,-78.02,-6.589104652404785
26,-76.38,-7.482395172119141
27,-71.88,-6.066798210144043
28,-69.85,-4.759858131408691
29,-68.92,-6.078794956207275
30,-71.1,-5.161016464233398
31,-70.82,-7.815046310424805
32,-69.31,-5.020817756652832
33,-63.18,-7.131313323974609
34,-64.38,-3.7741308212280273
35,-67.43,-4.88323450088501
36,-66.9,-6.346954345703125
37,-68.07,-6.982079982757568
38,-64.27,-5.588082313537598
39,-65.89,-5.8340277671813965
40,-67.21,-5.396401882171631
41,-69.29,-5.915976047515869
42,-67.8,-6.738509178161621
43,-69.27,-6.542727470397949
44,-70.29,-6.235706806182861
45,-69.51,-7.675786018371582
46,-71.37,-6.215083122253418
47,-69.99,-6.7056498527526855
48,-64.38,-2.5703818798065186
49,-59.78,-6.138376712799072
50,-60.36,-5.636127948760986
51,-57.5,-5.834300518035889
52,-56.01,-3.5759434700012207
53,-50.51,-1.8073064088821411
54,-51.16,-5.876640319824219
55,-55.18,-4.275602340698242
56,-57.19,1.2029759883880615
57,-56.28,-1.876459002494812
58,-57.34,-1.848618984222412
59,-56.74,0.023340463638305664
60,-60.93,-4.395107269287109
61,-59.1,-2.842458724975586
62,-56.85,-2.394702672958374
63,-55.32,-1.056107521057129
64,-54.36,-3.636463165283203
65,-50.68,-3.40415096282959
66,-46.62,-0.9877884387969971
67,-45.71,-2.921354055404663
68,-45.35,-4.819461345672607
69,-46.12,-3.129145622253418
70,-41.84,-4.621704578399658
71,-42.19,-5.698497295379639
72,-41.28,-3.3383073806762695
73,-40.24,-1.5793224573135376
74,-39.18,-6.957226753234863
75,-41.95,-3.8607003688812256
76,-43.76,-3.819035530090332
77,-41.95,-1.422652006149292
78,-39.93,-3.7864458560943604
79,-39.0,-5.802705764770508
80,-38.0,-4.605047225952148
81,-29.76,-4.698722839355469
82,-27.56,-0.5515621900558472
83,-28.2,-4.336977958679199
84,-30.38,-5.4149627685546875
85,-36.51,-2.0249648094177246
86,-35.06,-2.7954483032226562
87,-36.67,-3.9094650745391846
88,-40.39,-1.6802217960357666
89,-39.19,-4.222108840942383
90,-37.64,-1.2538611888885498
91,-37.05,-3.0977001190185547
92,-41.79,-3.1199183464050293
93,-36.86,-4.438330173492432
94,-37.31,-3.487525463104248
95,-35.8,-3.691713809967041
96,-29.14,-1.9140536785125732
97,-24.95,-2.6648616790771484
98,-29.73,-4.218429088592529
99,-32.14,-3.874459981918335
100,-29.42,-5.842085838317871
101,-32.91,0.1096687912940979
102,-35.63,-1.267898440361023
103,-37.64,-0.7894411683082581
104,-40.24,-4.0477294921875
105,-41.19,-2.027559757232666
106,-44.74,-1.1178090572357178
107,-43.26,-3.2442548274993896
108,-38.54,-3.216277837753296
109,-36.47,-2.613065481185913
110,-34.21,-2.947896718978882
111,-32.36,-2.6530566215515137
112,-26.44,-0.377048134803772
113,-26.07,-2.2539398670196533
114,-24.76,-2.241584062576294
115,-25.31,-5.927700519561768
116,-28.26,-2.35614275932312
117,-27.26,-5.843173980712891
118,-29.56,-2.2402868270874023
119,-32.95,0.047963112592697144
120,-32.95,-3.8895301818847656
121,-36.8,-2.2666854858398438
122,-35.02,-3.1296350955963135
123,-34.82,-4.561877250671387
124,-32.6,-2.538652181625366
125,-29.53,-4.904143810272217
126,-28.56,-2.7123584747314453
127,-25.85,-0.4826620817184448
128,-20.18,-2.210277557373047
129,-23.29,-2.749999523162842
130,-22.96,-2.3107123374938965
131,-22.54,1.0035021305084229
132,-20.56,-2.3656835556030273
133,-21.45,-2.160951852798462
134,-19.93,-1.8021275997161865
135,-19.95,-2.3841798305511475
136,-21.76,-2.42722749710083
137,-24.38,-2.997889518737793
138,-25.6,-3.2067172527313232
139,-26.74,-4.272709846496582
140,-30.39,-5.506625652313232
141,-33.0,-1.4422720670700073
142,-29.6,-1.9719369411468506
143,-24.12,-1.2321181297302246
144,-26.31,1.623939871788025
145,-28.58,-1.8208147287368774
146,-26.06,-4.526496887207031
147,-23.31,-3.697497606277466
148,-24.31,-2.104133367538452
149,-21.87,-0.2685430645942688
150,-19.89,0.9482321739196777
151,-17.14,-3.84352970123291
152,-12.04,1.9695459604263306
153,-12.52,-1.9979990720748901
154,-13.53,-0.6712558269500732
155,-13.35,-2.2007834911346436
156,-14.85,0.9487593770027161
157,-18.16,-1.0354394912719727
158,-19.98,-3.478585720062256
159,-17.16,0.5575054287910461
160,-20.16,-4.496105194091797
161,-15.84,-4.353499889373779
162,-17.96,-2.597590923309326
163,-17.41,0.5594968795776367
164,-20.59,-0.46094775199890137
165,-23.74,-2.9431188106536865
166,-22.4,-1.6650315523147583
167,-24.66,-1.8427729606628418
168,-24.47,-2.7596614360809326
169,-22.38,-1.4413883686065674
170,-17.59,2.366485595703125
171,-17.33,3.3274354934692383
172,-15.22,-0.1471642404794693
173,-13.95,-2.6947529315948486
174,-17.16,0.44543737173080444
175,-20.91,-0.3936213254928589
176,-21.16,1.5647858381271362
177,-20.87,-4.825282096862793
178,-23.36,-5.001718521118164
179,-22.39,0.41381216049194336
180,-19.43,-1.1798564195632935
181,-16.32,0.6488035321235657
182,-16.21,-2.2633934020996094
183,-13.15,-0.8765524625778198
184,-13.77,-2.155817985534668
185,-16.43,-4.053099155426025
186,-17.79,-1.0529265403747559
187,-20.72,-6.81459379196167
188,-19.68,-1.875219464302063
189,-21.38,-1.3978972434997559
190,-23.25,5.485095500946045
191,-18.62,0.9795131683349609
192,-20.78,-1.586233139038086
193,-18.92,-0.06377172470092773
194,-19.23,-3.4927477836608887
195,-19.48,-2.8033785820007324
196,-19.93,-3.592015027999878
197,-18.36,-2.1074395179748535
198,-14.69,-1.5983340740203857
199,-14.02,-1.3683972358703613
200,-11.99,-0.35247910022735596
