,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
80,0.1,0.9,0.1,-17.5,54.166666666666664,0.016648233147500306,12
81,0.1,0.9,0.2,-37.05,18.15,45.683041348202394,1000
82,0.1,0.9,0.3,-13.15,38.8,51.65878776950859,1000
83,0.1,0.9,0.4,-10.833333333333334,58.333333333333336,0.0207408851502366,12
84,0.1,0.9,0.5,32.23,82.79,52.969124795475125,1000
85,0.1,0.9,0.6,40.18,90.67,51.8695092205274,1000
86,0.1,0.9,0.7,43.24,93.39,52.107127625565965,1000
87,0.1,0.9,0.8,45.23,95.71,49.580937870879154,1000
88,0.1,0.9,0.9,28.333333333333332,94.16666666666667,0.00573532018999654,12
89,0.1,0.9,1.0,32.5,95.83333333333333,0.008017092388909672,12
90,0.1,1.0,0.1,-87.5,7.5,0.017985063252552964,12
91,0.1,1.0,0.2,-44.11,20.43,30.635421429660113,1000
92,0.1,1.0,0.3,-43.97,18.62,34.86633135192806,1000
93,0.1,1.0,0.4,-38.14,20.73,41.11918914799573,1000
94,0.1,1.0,0.5,-29.34,26.45,49.525529644871206,1000
95,0.1,1.0,0.6,-7.77,45.21,55.30864197530864,1000
96,0.1,1.0,0.7,18.67,69.39,58.75278158817253,1000
97,0.1,1.0,0.8,38.57,88.78,59.716811461667426,1000
98,0.1,1.0,0.9,29.166666666666668,93.33333333333333,0.024691358024691357,12
99,0.1,1.0,1.0,49.34,99.94,20.973174820911446,1000
100,0.2,0.1,0.1,-43.09,17.45,30.85334715338584,1000
101,0.2,0.1,0.2,-26.43,27.14,46.247851122229264,1000
102,0.2,0.1,0.3,5.06,56.55,54.455543736543426,1000
103,0.2,0.1,0.4,28.32,78.82,54.58553165732031,1000
104,0.2,0.1,0.5,38.85,89.79,48.589189786849296,1000
105,0.2,0.1,0.6,42.47,93.49,44.37555778655931,1000
106,0.2,0.1,0.7,44.77,97.84,33.46733796637991,1000
107,0.2,0.1,0.8,47.54,98.76,32.34467897444016,1000
108,0.2,0.1,0.9,25.0,93.33333333333333,0.01046131195756611,12
109,0.2,0.1,1.0,30.0,95.0,0.01145524992178663,12
110,0.2,0.2,0.1,-44.6,16.55,36.0519840276426,1000
111,0.2,0.2,0.2,-30.59,23.21,52.6150462395627,1000
112,0.2,0.2,0.3,4.29,55.4,59.84934555780434,1000
113,0.2,0.2,0.4,26.35,76.94,60.88074270139729,1000
114,0.2,0.2,0.5,39.45,89.71,59.97246313303235,1000
115,0.2,0.2,0.6,43.29,94.28,52.8304110324003,1000
116,0.2,0.2,0.7,47.18,97.52,51.45720863775776,1000
117,0.2,0.2,0.8,46.25,98.6,41.436966302389386,1000
118,0.2,0.2,0.9,47.78,99.28,37.41153431258128,1000
119,0.2,0.2,1.0,32.5,95.83333333333333,0.010907892550254874,12
120,0.2,0.3,0.1,-44.84,17.14,37.71786514633298,1000
121,0.2,0.3,0.2,-31.15,23.93,55.03413479316203,1000
122,0.2,0.3,0.3,-1.36,49.73,64.38448159355413,1000
123,0.2,0.3,0.4,23.68,74.18,65.54658572242467,1000
124,0.2,0.3,0.5,35.98,86.42,64.55236322185615,1000
125,0.2,0.3,0.6,41.47,91.94,59.67009741291648,1000
126,0.2,0.3,0.7,46.03,96.99,54.637430923532804,1000
127,0.2,0.3,0.8,45.4,98.74,45.13096009928867,1000
128,0.2,0.3,0.9,45.1,99.38,33.23221224010826,1000
129,0.2,0.3,1.0,31.666666666666668,95.0,0.013196747644279472,12
130,0.2,0.4,0.1,-43.36,17.92,41.86370265890831,1000
131,0.2,0.4,0.2,-31.35,21.61,61.66667264090672,1000
132,0.2,0.4,0.3,-0.68,51.02,65.78341703075046,1000
133,0.2,0.4,0.4,23.85,74.27,69.8591492367075,1000
134,0.2,0.4,0.5,36.15,86.49,68.14711290756797,1000
135,0.2,0.4,0.6,42.38,92.8,66.45909852927406,1000
136,0.2,0.4,0.7,46.26,97.02,61.247197166072766,1000
137,0.2,0.4,0.8,44.96,97.12,51.988434120723824,1000
138,0.2,0.4,0.9,24.736842105263158,93.15789473684211,0.03713245917548378,19
139,0.2,0.4,1.0,30.833333333333332,95.0,0.01623559823197684,12
140,0.2,0.5,0.1,-45.19,16.55,46.62078377345358,1000
141,0.2,0.5,0.2,-30.52,24.36,64.03165003395095,1000
142,0.2,0.5,0.3,-3.88,47.67,72.91674737336531,1000
143,0.2,0.5,0.4,21.71,72.2,74.35667166653157,1000
144,0.2,0.5,0.5,35.06,85.49,73.78088791011552,1000
145,0.2,0.5,0.6,40.75,90.96,73.19449451152865,1000
146,0.2,0.5,0.7,44.16,94.88,66.15018641336182,1000
147,0.2,0.5,0.8,46.17,97.29,61.375281143323626,1000
148,0.2,0.5,0.9,49.47,99.46,55.97531040759075,1000
149,0.2,0.5,1.0,46.62,99.94,20.104263896586957,1000
150,0.2,0.6,0.1,-45.47,16.62,49.89248049115686,1000
151,0.2,0.6,0.2,-32.68,22.07,68.92842923640893,1000
152,0.2,0.6,0.3,-5.49,45.92,79.71783945048821,1000
153,0.2,0.6,0.4,20.61,71.04,80.14268054483064,1000
154,0.2,0.6,0.5,33.18,83.52,79.27363305111702,1000
155,0.2,0.6,0.6,42.85,92.92,77.24750739766422,1000
156,0.2,0.6,0.7,45.62,96.13,71.69443819735343,1000
157,0.2,0.6,0.8,47.42,98.5,67.70100689731538,1000
158,0.2,0.6,0.9,30.714285714285715,96.42857142857143,0.08057734719021185,28
159,0.2,0.6,1.0,30.0,95.0,0.011105054250440916,12
160,0.2,0.7,0.1,-45.38,16.67,54.814834938610346,1000
161,0.2,0.7,0.2,-35.81,19.83,74.59234607136699,1000
162,0.2,0.7,0.3,-7.0,44.86,85.53498809413179,1000
163,0.2,0.7,0.4,19.25,69.85,87.90257673444336,1000
164,0.2,0.7,0.5,35.6,86.06,86.5982480607024,1000
165,0.2,0.7,0.6,41.49,91.97,83.12306715781624,1000
166,0.2,0.7,0.7,32.5,96.25,0.14090158972051267,32
167,0.2,0.7,0.8,43.52,96.76,69.0454328455245,1000
168,0.2,0.7,0.9,49.03,99.53,66.94118805788288,1000
169,0.2,0.7,1.0,37.77777777777778,96.66666666666667,0.03087157424876602,18
170,0.2,0.8,0.1,-43.05,18.27,61.69725082100036,1000
171,0.2,0.8,0.2,-35.2,19.43,83.03533566107954,1000
172,0.2,0.8,0.3,-8.42,44.01,93.46617801162574,1000
173,0.2,0.8,0.4,18.17,68.39,96.9155639796745,1000
174,0.2,0.8,0.5,33.2,84.07,92.7323137906806,1000
175,0.2,0.8,0.6,40.11,90.64,92.0637455892339,1000
176,0.2,0.8,0.7,44.22,94.51,90.78110533988534,1000
177,0.2,0.8,0.8,46.41,97.94,81.405774572734,1000
178,0.2,0.8,0.9,46.76,99.17,68.73845700058554,1000
179,0.2,0.8,1.0,28.333333333333332,95.0,0.011970767578113096,12
180,0.2,0.9,0.1,-46.84,16.53,65.37910916050443,1000
181,0.2,0.9,0.2,-0.7692307692307693,64.61538461538461,0.04795142641937579,13
182,0.2,0.9,0.3,-13.33,38.74,101.68165146216477,1000
183,0.2,0.9,0.4,16.37,67.29,105.51685238718741,1000
184,0.2,0.9,0.5,31.69,81.99,107.53631430247327,1000
185,0.2,0.9,0.6,41.64,91.86,105.21040029960899,1000
186,0.2,0.9,0.7,44.37,94.57,101.26803839575555,1000
187,0.2,0.9,0.8,25.714285714285715,91.9047619047619,0.08790311319411595,21
188,0.2,0.9,0.9,33.65079365079365,98.0952380952381,0.2771709430391097,63
189,0.2,0.9,1.0,33.25581395348837,98.6046511627907,0.07591726954291177,43
190,0.2,1.0,0.1,-44.92,22.15,55.150739216582835,1000
191,0.2,1.0,0.2,-45.82,20.84,56.10791037951532,1000
192,0.2,1.0,0.3,-42.56,21.13,65.92135345221764,1000
193,0.2,1.0,0.4,-39.82,19.21,83.52994970278921,1000
194,0.2,1.0,0.5,-29.92,25.98,99.19372046944063,1000
195,0.2,1.0,0.6,-6.78,45.77,111.28608443834781,1000
196,0.2,1.0,0.7,20.89,71.47,120.59564090839811,1000
197,0.2,1.0,0.8,38.46,88.61,118.1914342325865,1000
198,0.2,1.0,0.9,47.25,97.47,109.8680079256211,1000
199,0.2,1.0,1.0,38.97106109324759,99.80707395498392,2.702331961591221,311
200,0.3,0.1,0.1,-43.02,17.52,45.98026638642463,1000
201,0.3,0.1,0.2,-24.44,29.17,69.40974535036281,1000
202,0.3,0.1,0.3,3.32,54.04,82.85275658406765,1000
203,0.3,0.1,0.4,29.56,80.25,79.72866672146715,1000
204,0.3,0.1,0.5,39.56,90.27,72.52609700652721,1000
205,0.3,0.1,0.6,43.64,95.57,62.72629655322193,1000
206,0.3,0.1,0.7,45.55,96.91,57.40330880349971,1000
207,0.3,0.1,0.8,47.72,98.74,49.873312881304116,1000
208,0.3,0.1,0.9,47.68,99.4,36.61852776325108,1000
209,0.3,0.1,1.0,34.02061855670103,99.69072164948453,0.3070482665758205,194
210,0.3,0.2,0.1,-42.6,17.78,54.524833778154886,1000
211,0.3,0.2,0.2,-29.1,24.41,77.5916845226599,1000
212,0.3,0.2,0.3,4.63,55.53,89.24220893575091,1000
213,0.3,0.2,0.4,25.75,76.48,91.05268334769525,1000
214,0.3,0.2,0.5,39.73,90.23,87.60927262581879,1000
215,0.3,0.2,0.6,44.37,94.51,87.20143031792118,1000
216,0.3,0.2,0.7,32.5,97.25,0.4920007508235645,80
217,0.3,0.2,0.8,34.93827160493827,99.1358024691358,1.006196300476739,162
218,0.3,0.2,0.9,34.375,98.25,0.37547113455650316,80
219,0.3,0.2,1.0,33.41463414634146,99.51219512195122,0.1850284844609951,123
220,0.3,0.3,0.1,-44.9,15.78,59.72047505012424,1000
221,0.3,0.3,0.2,-32.18,22.42,82.63860382315882,1000
222,0.3,0.3,0.3,1.76,53.24,96.54208021300073,1000
223,0.3,0.3,0.4,28.3,78.93,95.93535440997906,1000
224,0.3,0.3,0.5,38.88,89.22,94.52758024274614,1000
225,0.3,0.3,0.6,30.943396226415093,96.41509433962264,0.5405772696302648,106
226,0.3,0.3,0.7,46.2,96.86,87.40073617629592,1000
227,0.3,0.3,0.8,33.246753246753244,98.83116883116882,0.7712125658060546,154
228,0.3,0.3,0.9,49.04,99.37,71.34803834134628,1000
229,0.3,0.3,1.0,46.54,99.94,26.325602469720387,1000
230,0.3,0.4,0.1,-45.51,16.79,61.23666785698402,1000
231,0.3,0.4,0.2,-30.33,24.11,88.67403913100944,1000
232,0.3,0.4,0.3,-4.1,47.47,102.78660003040551,1000
233,0.3,0.4,0.4,22.77,73.23,104.18726439971336,1000
234,0.3,0.4,0.5,36.84,87.54,98.80626852760582,1000
235,0.3,0.4,0.6,43.38,94.22,95.7926676310761,1000
236,0.3,0.4,0.7,45.05,96.17,92.18606130680352,1000
237,0.3,0.4,0.8,47.12,98.73,81.2747426213756,1000
238,0.3,0.4,0.9,33.111111111111114,97.77777777777777,0.17287865491806698,45
239,0.3,0.4,1.0,30.833333333333332,95.0,0.017419042484499315,12
240,0.3,0.5,0.1,-44.73,16.76,70.82057796562053,1000
241,0.3,0.5,0.2,-33.34,21.43,96.75787184078075,1000
242,0.3,0.5,0.3,-4.36,47.64,107.31552350653665,1000
243,0.3,0.5,0.4,24.34,75.11,110.50245287429131,1000
244,0.3,0.5,0.5,36.03,86.67,107.53560290867586,1000
245,0.3,0.5,0.6,41.9,92.4,106.58389216379395,1000
246,0.3,0.5,0.7,47.66,97.74,105.79331281807386,1000
247,0.3,0.5,0.8,18.75,83.75,0.048961348034662636,16
